1272,1.3,1653.6,31500
1032,3.6,3715.2,70000
924,4,3696.0,70000
1464,3.3,4831.2,90300
1740,2.8,4872.0,91000
444,11.3,5017.2,95200
1344,3.8,5107.2,96600
1212,4.3,5211.6,97860
1392,3.7,5150.4,98000
1692,3.7,6260.4,119000
1236,5.2,6427.2,121800
1560,4.3,6708.0,126000
984,6.8,6691.2,126700
1260,5.9,7434.0,141400
1908,4,7632.0,144200
1656,5.1,8445.6,160440
1356,6.3,8542.8,161000
1500,5.8,8700.0,166040
1524,5.9,8991.6,169820
1800,5.5,9900.0,186200
1704,5.9,10053.6,191800
2112,4.9,10348.8,196000
1404,7.5,10530.0,199500
1488,7.2,10713.6,203000
1860,5.9,10974.0,207200
1800,6.6,11880.0,224000
2052,5.9,12106.8,228200
2028,6.1,12370.8,233800
3348,5.3,17744.4,336000
2556,7.5,19170.0,364000
